"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_times_age"
"2025-01-06","Bruichladdich","Islay","Scotland","50.4",74.9,"148.61","Operational","Barrel","First Fill","Bourbon",20,212.3,105,63,26,19060.19,89.78,254.48,5089.50333778371
"2025-01-06","Copper House","England","England","64.8",74.78,"115.4","Operational","Barrel",NA,"Bourbon",13,164.86,105,63,26,1030.28,6.25,13.78,179.107247927253
"2024-12-02","Copper House","England","England","64.8",74.78,"115.4","Operational","Barrel",NA,"Bourbon",13,164.86,132,70,45,1028.76,6.24,13.76,178.843006151377
"2024-10-07","Dailuaine","Speyside","Scotland","59.3",125.73,"212.02","Operational","Hogshead","Second Fill","Bourbon",15,302.89,124,67,37,3587.73,11.84,28.54,428.027916964925
"2024-10-07","Dailuaine","Islay","Scotland","61",122,"200","Operational","Hogshead","Second Fill","Bourbon",8,285.71,124,67,37,1808.33,6.33,14.82,118.579016393443
"2024-10-07","Port Dundas","Lowlands","Scotland","63.8",135.57,"212.5","Closed","Hogshead",NA,"Bourbon",14,303.57,124,67,37,2170,7.15,16.01,224.09087556244
"2024-10-07","Glenrothes","Speyside","Scotland","66.8",160.9,"240.87","Operational","Hogshead","Second Fill","Bourbon",8,344.1,124,67,37,3255,9.46,20.23,161.839651957738
"2024-10-07","Bruichladdich","Islay","Scotland","60.6",83.9,"138.45","Operational","Barrel","First Fill","Bourbon",19,197.79,124,67,37,14983.33,75.75,178.59,3393.12598331347
"2024-08-05","Bruichladdich","Islay","Scotland","51",76.5,"150","Operational","Barrel","Second Fill","Bourbon",20,214.29,98,38,25,27527.1,128.46,359.83,7196.62745098039
"2024-05-06","Bruichladdich","Islay","Scotland","60.9",87.4,"143.51","Operational","Barrel","First Fill","Bourbon",18,205.01,77,59,13,13543.69,66.06,154.96,2789.31830663616
"2024-04-08","Bruichladdich","Islay","Scotland","60.9",87.4,"143.51","Operational","Barrel","First Fill","Bourbon",18,205.01,78,57,12,15674.16,76.46,179.34,3228.08787185355
"2024-04-08","Bruichladdich","Islay","Scotland","46.7",86,"184.15","Operational","Barrel","First Fill","Bourbon",38,263.07,78,57,12,67921.35,258.19,789.78,30011.7593023256
"2024-01-08","Fettercairn","Highlands","Scotland","54.8",79.05,"144.25","Operational","Barrel","First Fill","Sherry",15,206.07,75,55,45,5834.6,28.31,73.81,1107.13472485769
"2024-01-08","Bruichladdich","Islay","Scotland","59.9",96,"160.27","Operational","Barrel","First Fill","Bourbon",15,228.96,75,55,45,20686.31,90.35,215.48,3232.2359375
"2023-11-06","Bruichladdich","Islay","Scotland","59.6",242.3,"406.54","Operational","Butt",NA,"Sherry",21,580.77,37,18,14,58257.4,100.31,240.43,5049.13495666529
"2023-11-06","Bruichladdich","Islay","Scotland","56.7",52.2,"92.06","Operational","Barrel","First Fill","Bourbon",16,131.51,37,18,14,11015.95,83.77,211.03,3376.53639846743
"2023-09-04","Bruichladdich","Islay","Scotland","56.7",52.2,"92.06","Operational","Barrel","First Fill","Bourbon",16,131.51,37,26,9,9934.09,75.54,190.31,3044.93180076628
"2023-07-10","Bruichladdich","Islay","Scotland","60.8",77.2,"126.97","Operational","Barrel","First Fill","Bourbon",17,181.39,35,20,11,21313.98,117.5,276.09,4693.49300518135
"2023-03-06","Glen Ord","Highlands","Scotland","61.2",102.67,"167.76","Operational",NA,NA,"Bourbon",10,239.66,52,11,2,8333.2,34.77,81.16,811.64897243596
"2023-03-06","Tullibardine","Highlands","Scotland","60.8",35.82,"58.91","Operational","Octave",NA,"Wine",8,84.16,52,11,2,1731.57,20.57,48.34,386.726968174204
"2023-01-09","Bruichladdich","Islay","Scotland","60.8",80.32,"132.11","Operational","Hogshead","First Fill","Bourbon",14,188.73,71,15,6,28142.8,149.12,350.38,4905.36852589642
"2022-10-10","Strathmill","Speyside","Scotland","58.5",60.67,"103.71","Operational","Quarter Cask","First Fill","Sherry",13,148.16,95,32,9,3868.86,26.11,63.77,828.995879347289
"2022-07-04","Bruichladdich","Islay","Scotland","57.2",96.8,"169.23","Operational","Hogshead",NA,"Sherry",20,241.76,110,56,23,46120.41,190.77,476.45,9529.01033057851
"2022-07-04","Craigellachie","Speyside","Scotland","54.05",55.56,"102.8","Operational","Quarter Cask",NA,"Sherry",14,146.86,110,56,23,5010.61,34.12,90.18,1262.57271418287
"2022-06-06","Ardbeg","Islay","Scotland","51.9",81.2,"156.45","Operational","Hogshead","Second Fill","Bourbon",28,223.5,108,55,31,234790.64,1050.52,2891.51,80962.2896551724
"2022-06-06","Macallan","Speyside","Scotland","40.7",45.99,"113","Operational","Hogshead",NA,"Bourbon",33,161.43,108,55,31,105942.12,656.27,2303.59,76018.4814090019
"2022-05-02","Tullibardine","Highlands","Scotland","61",100.04,"164","Operational",NA,"Second Fill","Bourbon",7,234.29,106,64,39,2078.64,8.87,20.78,145.446621351459
"2022-05-02","Tullibardine","Highlands","Scotland","60.9",92.57,"152","Operational",NA,"Second Fill","Bourbon",7,217.14,106,64,39,2020.9,9.31,21.83,152.817327427892
"2022-05-02","Springbank","Campbeltown","Scotland","51.8",42.6,"82.24","Operational",NA,"First Fill","Rum",25,117.49,106,64,39,49656.46,422.64,1165.64,29141.1150234742
"2022-05-02","Fettercairn","Highlands","Scotland","56.6",83,"146.64","Operational","Barrique","First Fill","Sherry",13,209.49,106,64,39,11548.01,55.12,139.13,1808.72445783133
"2022-04-04","Glen Spey","Speyside","Scotland","60.4",62,"102.65","Operational","Quarter Cask",NA,"Sherry",12,146.64,97,63,33,3487.5,23.78,56.25,675
"2022-04-04","Tullibardine","Highlands","Scotland","61",100.04,"164","Operational",NA,"Second Fill","Bourbon",7,234.29,97,63,33,1278.75,5.46,12.78,89.4767093162735
"2022-04-04","Tullibardine","Highlands","Scotland","60.9",92.57,"152","Operational",NA,"Second Fill","Bourbon",7,217.14,97,63,33,1278.75,5.89,13.81,96.6970940909582
"2022-04-04","Invergordon","Highlands","Scotland","47.8",106.44,"222.68","Operational","Hogshead","First Fill","Sherry",34,318.11,97,63,33,14531.25,45.68,136.52,4641.69954904171
"2022-04-04","Craigellachie","Speyside","Scotland","65.2",129.56,"198.71","Operational","Barrique","First Fill","Sherry",11,283.87,97,63,33,11625,40.95,89.73,986.994442729237
"2022-04-04","Tullibardine","Highlands","Scotland","58.4",111,"190.07","Operational","Barrique","First Fill","Sherry",10,271.53,97,63,33,6393.75,23.55,57.6,576.013513513514
"2022-03-07","Fettercairn","Highlands","Scotland","56.9",85,"149.38","Operational","Barrique","First Fill","Wine",13,213.4,92,59,24,8458.16,39.64,99.51,1293.60094117647
"2022-03-07","Knockdhu","Highlands","Scotland","58.6",104,"177.47","Operational","Barrique","First Fill","Sherry",8,253.53,92,59,24,6075.58,23.96,58.42,467.352307692308
"2022-03-07","Tullibardine","Highlands","Scotland","56.8",64,"112.68","Operational","Quarter Cask",NA,"Madeira",10,160.97,92,59,24,3216.48,19.98,50.26,502.575
"2022-03-07","Glen Spey","Speyside","Scotland","60.4",62,"102.65","Operational","Quarter Cask",NA,"Sherry",12,146.64,92,59,24,5956.45,40.62,96.07,1152.86129032258
"2022-03-07","Tullibardine","Highlands","Scotland","56.8",65.76,"115.77","Operational","Quarter Cask","First Fill","Wine",10,165.39,92,59,24,5360.8,32.41,81.52,815.206812652068
"2022-02-07","Inchgower","Speyside","Scotland","60.3",71.82,"119.11","Operational","Quarter Cask",NA,"Sherry",11,170.16,85,59,25,5420.98,31.86,75.48,830.280980228349
"2022-02-07","Tullibardine","Highlands","Scotland","58.3",108.23,"185.64","Operational","Barrique","First Fill","Madeira",9,265.2,85,59,25,5782.38,21.8,53.43,480.840986787397
"2022-02-07","Tullibardine","Highlands","Scotland","56.8",65.76,"115.77","Operational","Quarter Cask","First Fill","Wine",9,165.39,85,59,25,3734.46,22.58,56.79,511.103102189781
"2022-02-07","Springbank","Campbeltown","Scotland","49.6",38.3,"77.22","Operational",NA,"First Fill","Rum",25,110.31,85,59,25,42765.54,387.69,1116.59,27914.8433420366
"2022-01-10","Knockdhu","Highlands","Scotland","56.4",91.8,"162.77","Operational","Barrique","First Fill","Sherry",9,232.53,91,54,30,7284.6,31.33,79.35,714.176470588235
"2022-01-10","Strathmill","Speyside","Scotland","58.5",60.7,"103.76","Operational","Quarter Cask","First Fill","Sherry",13,148.23,91,54,30,9834.2,66.34,162.01,2106.17133443163
"2021-11-08","Craigellachie","Speyside","Scotland","66.3",77.19,"116.43","Operational","Quarter Cask","First Fill","Sherry",11,166.33,99,42,34,6579.04,39.55,85.23,937.549423500453
"2021-11-08","Arran (Lochranza)","Islands","Scotland","54.7",75.54,"138.1","Operational","Hogshead",NA,"Sherry",25,197.29,99,42,34,40205.24,203.79,532.24,13305.9438707969
"2021-11-08","Bruichladdich","Islay","Scotland","66.8",112.22,"168","Operational","Barrel","First Fill","Bourbon",9,240,99,42,34,21930.13,91.38,195.42,1758.78782748173
"2021-11-08","Fettercairn","Highlands","Scotland","57.4",94.1,"163.94","Operational","Barrel",NA,"Bourbon",13,234.2,99,42,34,9868.56,42.14,104.87,1363.35047821467
"2021-10-04","Bunnahabhain","Islay","Scotland","67.3",154.12,"229","Operational","Hogshead",NA,"Sherry",10,327.14,99,34,24,22717.87,69.44,147.4,1474.03776278225
"2021-10-04","Glenlossie","Speyside","Scotland","63.3",63.3,"100","Operational","Quarter Cask","First Fill","Sherry",8,142.86,99,34,24,5648.77,39.54,89.24,713.90458135861
"2021-09-06","Craigellachie","Speyside","Scotland","66.3",77.19,"116.43","Operational","Quarter Cask","First Fill","Sherry",11,166.33,98,33,18,7198.4,43.28,93.26,1025.8116336313
"2021-09-06","Teaninich","Highlands","Scotland","59.4",58.86,"99.09","Operational","Quarter Cask","First Fill","Sherry",11,141.56,98,33,18,5584.96,39.45,94.89,1043.74040095141
"2021-08-09","Blair Athol","Highlands","Scotland","58.8",75.38,"128.2","Operational","Barrel",NA,"Rum",7,183.14,91,26,8,5475.47,29.9,72.64,508.467630671266
"2021-08-09","Craigellachie","Speyside","Scotland","63.9",280.78,"439.4","Operational","Butt",NA,"Sherry",14,627.71,91,26,8,24888.49,39.65,88.64,1240.96751905406
"2021-08-09","Bunnahabhain","Islay","Scotland","67.3",154.12,"229","Operational","Hogshead",NA,"Sherry",10,327.14,91,26,8,19910.79,60.86,129.19,1291.90176485855
"2021-08-09","Port Dundas","Lowlands","Scotland","63.8",135.57,"212.5","Closed","Hogshead",NA,"Bourbon",12,303.57,91,26,8,3733.27,12.3,27.54,330.450984731135
"2021-08-09","Caol Ila","Islay","Scotland","60.2",96.08,"159.6","Operational","Hogshead","First Fill","Sherry",13,228,91,26,8,20534.25,90.06,213.72,2778.36438384679
"2021-06-07","Port Dundas","Lowlands","Scotland","63.9",140.04,"219.15","Closed","Hogshead",NA,"Bourbon",12,313.07,97,43,15,4261.46,13.61,30.43,365.163667523565
"2021-05-10","Bruichladdich","Islay","Scotland","63.6",132.29,"208","Operational","Hogshead",NA,"Wine",9,297.14,95,57,18,19640.79,66.1,148.47,1336.20916169023
"2021-04-05","Arran (Lochranza)","Islands","Scotland","51.3",108.09,"210.7","Operational","Hogshead","First Fill","Sherry",25,301,95,65,27,51314.71,170.48,474.74,11868.5146637062
"2021-03-08","Glen Elgin","Speyside","Scotland","62.01",270.98,"437","Operational","Butt",NA,"Sherry",8,624.29,95,65,28,21677.33,34.72,80,639.968410952838
"2021-03-08","Glenglassaugh","Highlands","Scotland","59.7",26.51,"44.4","Operational","Octave","First Fill","Sherry",5,63.43,95,65,28,2295.25,36.19,86.58,432.902678234628
"2021-02-08","Glenglassaugh","Highlands","Scotland","59.7",26.51,"44.4","Operational","Octave","First Fill","Sherry",5,63.43,90,65,39,3324.47,52.41,125.4,627.021878536401
"2021-02-08","Glenglassaugh","Highlands","Scotland","59.7",26.51,"44.4","Operational","Octave","First Fill","Sherry",5,63.43,90,65,39,2813.02,44.35,106.11,530.558279894379
"2021-02-08","Ardmore","Highlands","Scotland","57.6",28.92,"50.21","Operational","Octave","First Fill","Sherry",13,71.73,90,65,39,3324.47,46.35,114.95,1494.40214384509
"2021-01-11","Tullibardine","Highlands","Scotland","66.6",30.22,"45.37","Operational","Octave","First Fill","Sherry",5,64.81,79,61,38,2048.99,31.62,67.8,339.01224354732
"2021-01-11","Tullibardine","Highlands","Scotland","66.6",29.48,"44.26","Operational","Octave","First Fill","Sherry",5,63.23,79,61,38,1990.11,31.47,67.51,337.535617367707
"2021-01-11","Aultmore","Speyside","Scotland","60.2",32.45,"53.9","Operational","Octave",NA,"Sherry",10,77,79,61,38,3807.45,49.45,117.33,1173.3281972265
"2020-12-07","Tullibardine","Highlands","Scotland","69.7",36.66,"52.6","Operational","Octave","First Fill","Sherry",2,75.14,74,54,37,1596.84,21.25,43.56,87.1162029459902
"2020-12-07","Glenrothes","Speyside","Scotland","66",138.45,"209.78","Operational","Hogshead",NA,"Sherry",5,299.69,74,54,37,5620.88,18.76,40.6,202.993138317082
"2020-12-07","Bunnahabhain","Islay","Scotland","66.1",148.79,"225.1","Operational","Hogshead",NA,"Sherry",10,321.57,74,54,37,19802.1,61.58,133.09,1330.87573089589
"2020-11-09","Port Dundas","Lowlands","Scotland","63",141.03,"223.85","Closed","Hogshead",NA,"Bourbon",11,319.79,56,38,26,4611.57,14.42,32.7,359.691342267603
"2020-11-09","Glen Moray","Speyside","Scotland","61.2",72.09,"117.79","Operational","Barrel",NA,"Bourbon",5,168.27,56,38,26,3458.68,20.55,47.98,239.886253294493
"2020-11-09","Tullibardine","Highlands","Scotland","69.7",36.66,"52.6","Operational","Octave","First Fill","Sherry",2,75.14,56,38,26,2049.59,27.28,55.91,111.816148390616
"2020-11-09","Glentauchers","Speyside","Scotland","59.8",100.05,"167.3","Operational","Barrel",NA,"Bourbon",11,239,56,38,26,6276.86,26.26,62.74,690.109545227386
"2020-11-09","Bruichladdich","Islay","Scotland","61.1",105.09,"172","Operational","Barrel","First Fill","Bourbon",10,245.71,56,38,26,16652.89,67.77,158.46,1584.63126843658
"2020-11-09","Bruichladdich","Islay","Scotland","60.5",99.22,"164","Operational","Barrel","First Fill","Bourbon",10,234.29,56,38,26,16012.4,68.34,161.38,1613.82785728684
"2020-10-05","North British","Lowlands","Scotland","59.9",122.99,"205.32","Operational","Hogshead",NA,"Bourbon",13,293.31,46,30,23,3452.34,11.77,28.07,364.911130986259
"2020-10-05","Bruichladdich","Islay","Scotland","62.9",109.45,"174","Operational","Barrel","First Fill","Bourbon",10,248.57,46,30,23,14066.36,56.59,128.52,1285.18592964824
"2020-09-07","North British","Lowlands","Scotland","61.8",129.46,"209.49","Operational","Hogshead",NA,"Bourbon",13,299.27,42,30,17,6457.15,21.58,49.88,648.408388691488
"2020-08-03","Glenrothes","Speyside","Scotland","64.8",138.49,"213.72","Operational","Hogshead",NA,"Sherry",11,305.31,34,25,12,10790.06,35.34,77.91,857.034154090548
"2020-08-03","Springbank","Campbeltown","Scotland","50.2",57.73,"115","Operational",NA,"First Fill","Sherry",29,164.29,34,25,12,64997.24,395.63,1125.88,32650.6142386974
"2020-07-06","North British","Lowlands","Scotland","61.5",72.22,"117.43","Operational","Barrel",NA,"Bourbon",13,167.76,28,18,7,4475.25,26.68,61.97,805.56978676267
"2020-07-06","Port Dundas","Lowlands","Scotland","64.2",143.37,"223.31","Closed","Hogshead",NA,"Bourbon",11,319.01,28,18,7,6393.22,20.04,44.59,490.516984027342
"2020-06-01","Bruichladdich","Islay","Scotland","63.7",110.2,"173","Operational","Barrel","First Fill","Bourbon",8,247.14,28,20,13,10533.15,42.62,95.58,764.656987295826
"2020-04-06","Bruichladdich","Islay","Scotland","59.3",64.64,"109","Operational","Barrel","First Fill","Bourbon",16,155.71,27,16,11,10285.71,66.06,159.12,2545.96782178218
"2020-03-11","Glentauchers","Speyside","Scotland","59.9",95.24,"159","Operational","Barrel",NA,"Bourbon",11,227.14,20,12,7,5266.57,23.19,55.3,608.276669466611
"2020-03-11","Glentauchers","Speyside","Scotland","60.8",193.34,"318","Operational","Barrel",NA,"Bourbon",11,454.29,20,12,7,4624.31,10.18,23.92,263.098220751009
"2020-03-11","Port Dundas","Lowlands","Scotland","65.5",138.53,"211.5","Closed","Hogshead",NA,"Port",11,302.14,20,12,7,5716.16,18.92,41.26,453.89273081643
"2020-03-11","Bruichladdich","Islay","Scotland","63.1",101.59,"161","Operational","Barrel","First Fill","Bourbon",13,230,20,12,7,14129.83,61.43,139.09,1808.12865439512
"2020-02-03","Bruichladdich","Islay","Scotland","62.1",120.47,"194","Operational","Hogshead",NA,"Wine",11,277.14,18,9,5,15414.36,55.62,127.95,1407.47040757035
"2020-02-03","Bruichladdich","Islay","Scotland","63.1",101.59,"161","Operational","Barrel","First Fill","Bourbon",13,230,18,9,5,13487.57,58.64,132.76,1725.941628113
"2020-01-06","Bruichladdich","Islay","Scotland","63.1",101.59,"161","Operational","Barrel","First Fill","Bourbon",13,230,18,10,5,14182.07,61.66,139.6,1814.8135643272
"2019-12-02","Bruichladdich","Islay","Scotland","61.2",94.86,"155","Operational","Barrel","First Fill","Bourbon",14,221.43,19,8,5,15428.57,69.68,162.65,2277.03963736032
"2019-12-02","Bruichladdich","Islay","Scotland","58.1",70.77,"121.81","Operational","Barrel","First Fill","Bourbon",16,174.01,19,8,5,12857.14,73.89,181.68,2906.80005652112
"2019-09-02","Bruichladdich","Islay","Scotland","63.6",107.48,"169","Operational","Barrel","First Fill","Bourbon",7,241.43,21,8,3,12863.57,53.28,119.68,837.783680684778
"2019-05-06","Tullibardine","Highlands","Scotland","58.5",90.5,"152.7","Operational","Barrel","First Fill","Bourbon",11,218.14,25,8,2,5171.46,23.71,57.14,628.575248618784
"2019-04-08","Tullibardine","Highlands","Scotland","58.5",90.5,"152.7","Operational","Barrel","First Fill","Bourbon",11,218.14,25,10,2,4667.29,21.4,51.57,567.294917127072
"2018-12-03","Glasgow","Lowlands","Scotland","61.43",26.58,"43.27","Operational","Quarter Cask",NA,"Sherry",3,61.81,26,15,7,2018.91,32.66,75.96,227.867945823928
"2018-07-02","Dufftown","Speyside","Scotland","59.9",120.4,"201","Operational","Barrel",NA,"Rum",10,287.14,24,12,5,3428.17,11.94,28.47,284.731727574751
"2018-07-02","Glenburgie","Speyside","Scotland","60.1",109.98,"183","Operational","Barrel",NA,"Bourbon",5,261.43,24,12,5,3296.31,12.61,29.97,149.859519912711
"2018-07-02","Ben Nevis","Highlands","Scotland","57.2",230.76,"398.65","Operational",NA,NA,"Wine",21,569.5,24,12,5,23074.2,40.52,99.99,2099.83619344774
"2018-05-07","Bruichladdich","Islay","Scotland","64.1",128.84,"201","Operational","Barrique",NA,"Wine",14,287.14,22,12,2,16943.05,59.01,131.5,1841.06411052468
"2018-05-07","Ben Nevis","Highlands","Scotland","57.2",230.76,"398.65","Operational",NA,NA,"Wine",21,569.5,22,12,2,26370.51,46.3,114.28,2399.8124024961
"2018-04-02","Ben Nevis","Highlands","Scotland","57.2",230.76,"398.65","Operational","Butt",NA,"Sherry",21,569.5,21,14,7,60167.65,105.65,260.74,5475.47516900676
"2025-03-10","Copper House","England","England","68.06",92.03,"135.22","Operational",NA,"Virgin Oak","Virgin Oak",8,193.17,129,84,39,357.69,1.85,3.89,31.093339128545
"2025-03-10","Copper House","England","England","65.32",110.3,"168.86","Operational",NA,"Virgin Oak","Virgin Oak",8,241.23,129,84,39,357.69,1.48,3.24,25.9430643699003
"2023-04-24","Springbank","Campbeltown","Scotland","43.9",64.84,"147.7","Operational","Hogshead","First Fill","Sherry",26.88,211,47,15,9,93873.66,444.9,1447.77,38916.1625663171
"2024-05-14","Port Charlotte","Islay","Scotland","55.9",140.31,"251","Operational","Hogshead","Second Fill","Sherry",19.64,358.57,77,59,13,30473.3,84.99,217.19,4265.52356923954
"2022-10-03","Bruichladdich","Islay","Scotland","61.4",121.57,"198","Operational",NA,NA,"Wine",10.25,282.86,95,32,9,26805.67,94.77,220.5,2260.08157851444
"2023-06-20","Bruichladdich","Islay","Scotland","57.1",122.76,"215","Operational","Hogshead",NA,"Wine",12.77,307.14,38,19,17,24929.66,81.17,203.08,2593.28574617139
"2024-05-14","Bruichladdich","Islay","Scotland","59.7",149.25,"250","Operational","Hogshead","Second Fill","Sherry",19.47,357.14,77,59,13,18231.89,51.05,122.16,2378.39127839196
"2023-11-21","Bruichladdich","Islay","Scotland","60.7",91.05,"150","Operational","Barrel","First Fill","Bourbon",17.44,214.29,37,18,14,18271.64,85.27,200.68,3499.80671718836
"2021-11-15","Bruichladdich","Islay","Scotland","56.5",88.14,"156","Operational","Barrel","First Fill","Bourbon",16.47,222.86,99,42,34,20711.79,92.94,234.99,3870.24258339006
"2024-01-01","Bruichladdich","Islay","Scotland","62.9",113.22,"180","Operational","Barrel","First Fill","Bourbon",12.93,257.14,75,55,45,16973.38,66.01,149.92,1938.40137254902
"2023-11-21","Bruichladdich","Islay","Scotland","62.9",89.95,"143","Operational","Barrel","First Fill","Bourbon",16.42,204.29,37,18,14,15093.96,73.88,167.8,2755.33989105058
"2024-05-14","Bruichladdich","Islay","Scotland","56.1",74.05,"132","Operational","Barrel","First Fill","Bourbon",18.91,188.57,77,59,13,12501.87,66.3,168.83,3192.57747062795
"2024-05-14","Bruichladdich","Islay","Scotland","68.7",121.6,"177","Operational","Barrel","First Fill","Bourbon",12.65,252.86,77,59,13,10418.22,41.2,85.68,1083.80331414474
"2023-03-27","Dingle","Ireland","Ireland","61.7",98.72,"160","Operational","Barrel",NA,"Bourbon",8.99,228.57,52,11,2,10497.67,45.93,106.34,955.977039100486
"2020-03-08","Bruichladdich","Islay","Scotland","63.9",113.1,"177","Operational",NA,"First Fill","Bourbon",11.07,252.86,20,12,7,12331.49,48.77,109.03,1206.98138196286
"2020-10-20","Glenfarclas","Speyside","Scotland","58.9",98.4,"167.06","Operational","Barrel","First Fill","Bourbon",8.91,238.66,46,30,23,9589.83,40.18,97.46,868.347411585366
"2020-08-11","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.25,730.47,34,25,12,8991.71,12.31,28.55,178.418272588736
"2020-10-19","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.44,730.47,46,30,23,8950.5,12.25,28.42,182.99961902343
