"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_times_age"
"2020-11-17","Glenfarclas","Speyside","Scotland","58.9",98.4,"167.06","Operational","Barrel","First Fill","Bourbon",8.99,238.66,56,38,26,8326.45,34.89,84.62,760.719364837398
"2020-09-15","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.35,730.47,42,30,17,7671.86,10.5,24.36,154.664775541304
"2020-12-15","Heaven Hill","USA","USA","66.3",116.69,"176","Operational","Barrel",NA,"Bourbon",11.95,251.43,74,54,37,7664.84,30.48,65.69,784.941623103951
"2020-07-13","Glenallachie","Speyside","Scotland","65.5",61.74,"94.26","Operational","Barrel",NA,"Bourbon",4.93,134.66,28,18,7,5306.37,39.41,85.95,423.718887269193
"2020-12-14","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.35,266.21,74,54,37,4982.14,18.72,41.01,219.378181069959
"2020-08-11","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5,266.21,34,25,12,4945.44,18.58,40.7,203.516049382716
"2020-09-15","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.1,266.21,42,30,17,4730.98,17.77,38.94,198.584345679012
"2020-11-17","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.27,266.21,56,38,26,4483.47,16.84,36.9,194.468204938272
"2020-10-20","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.2,266.21,46,30,23,3388.41,12.73,27.89,145.01837037037
"2019-07-30","Macallan","Speyside","Scotland","42.9",77.9299,"181.5976","Operational","Hogshead","Second Fill","",29.57,259.425142857143,26,8,6,91793.33,353.83,1177.9,34830.3894666874
"2024-09-30","Springbank","Campbeltown","Scotland","43.8",61.6,"140.3","Operational","Hogshead","Second Fill","Sherry",30.75,200.428571428571,100,45,25,72764.53,363.04,1181.24,36323.2028814935
"2025-06-16","Springbank","Campbeltown","Scotland","43.3",57.9,"131.8","Operational","Hogshead","First Fill","Bourbon",25.46,188.285714285714,131,61,22,35151.19,186.69,607.1,15456.8099723661
"2023-12-31","Ben Nevis","Highlands","Scotland","55",79.02,"143.39","Operational","Hogshead","","",27.16,204.842857142857,41,22,13,26486.01,129.3,335.18,9103.51849658314
"2024-03-31","Ben Nevis","Highlands","Scotland","55.1",71.64,"129.76","Operational","Hogshead","","",27.41,185.371428571429,81,55,42,25172.93,135.8,351.38,9631.35135817979
"2025-04-21","Ben Nevis","Highlands","Scotland","49.6",80.1,"159.73","Operational","Hogshead","","",29.06,228.185714285714,134,67,41,22459.3,98.43,280.39,8148.15553058677
"2020-09-30","Ben Nevis","Highlands","Scotland","56.1",89.27,"159.29","Operational","Hogshead","","",24.75,227.557142857143,42,30,17,26730.04,117.47,299.43,7410.87140136664
"2020-09-30","Ben Nevis","Highlands","Scotland","56.4",106.43,"188.9","Operational","Hogshead","Second Fill","Sherry",23.75,269.857142857143,42,30,17,22504.12,83.39,211.45,5021.82514328667
"2022-02-28","Bruichladdich","Islay","Scotland","63.8",93.79,"147","Operational","Barrel","First Fill","Bourbon",10.16,210,85,59,25,16865.28,80.31,179.82,1826.9671052351
"2018-07-31","Dalmore","Highlands","Scotland","58.9",116.7,"198.13","Operational","Hogshead","Second Fill","",10.47,283.042857142857,24,12,5,15822.31,55.9,135.58,1419.53372493573
"2021-06-30","Auchroisk","Speyside","Scotland","58.9",127.07,"215.75","Operational","Hogshead","","",12.7,308.214285714286,97,43,15,7206.87,23.38,56.72,720.289989769418
"2025-05-19","Arran","Highlands","Scotland","58.6",134,"226","Operational","Hogshead","First Fill","Sherry",12.21,322.857142857143,134,66,22,5342.12,16.55,39.87,486.770785074627
"2024-07-31","Ardnamurchan","Highlands","Scotland","61.6",101.76,"165.2","Operational","Barrel","","",7.4,236,97,42,30,3753.36,15.9,36.88,272.944811320755
"2024-06-30","Ardnamurchan","Highlands","Scotland","61.6",101.76,"165.2","Operational","Barrel","","",7.32,236,84,62,20,3744.97,15.87,36.8,269.390530660377
"2024-04-29","Longmorn","Speyside","Scotland","54.8",92.6,"168.98","Operational","Barrel","","Bourbon",13.71,241.4,78,57,12,11494.38,47.62,124.13,1701.81371274298
"2024-04-01","Longmorn","Speyside","Scotland","57.4",102.3,"178.22","Operational","Barrel","","Bourbon",13.64,254.6,78,57,12,9926.97,38.99,97.04,1323.596
"2024-02-05","Longmorn","Speyside","Scotland","55.6",97.8,"175.9","Operational","Barrel","","Bourbon",13.48,251.29,81,60,46,9489.8,37.76,97.03,1308.00106339468
"2023-12-04","Longmorn","Speyside","Scotland","55.6",88.3,"158.81","Operational","Barrel","","Bourbon",13.59,226.87,41,22,13,9391.45,41.4,106.36,1445.4111608154
"2025-04-04","Tamnavulin","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","","",11.57,258.36,134,67,41,4441.39,17.19,41.98,485.698320415879
"2024-09-02","Dalmunach","Speyside","Scotland","59.2",102.9,"173.82","Operational","Barrel","First Fill","Bourbon",7.22,248.31,100,45,25,4261.92,17.16,41.42,299.03850728863
"2024-12-13","Dalmunach","Speyside","Scotland","59.2",102.9,"173.82","Operational","Barrel","First Fill","Bourbon",7.5,248.31,132,70,45,4012.17,16.16,38.99,292.43221574344
"2025-04-04","Tamnavulin","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","","",11.57,258.36,134,67,41,3734.8,14.46,35.3,408.427561436673
"2024-11-04","Dalmunach","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","First Fill","Bourbon",7.39,258.36,127,68,43,3613.99,13.99,34.16,252.432760869565
"2024-12-13","Dalmunach","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","First Fill","Bourbon",7.5,258.36,132,70,45,3292.04,12.74,31.12,233.367674858223
"2025-01-06","Deanston","Highlands","Scotland","65",158.29,"243.52","Operational","Hogshead","Second Fill","",2.53,347.89,105,63,26,2060.56,5.92,13.02,32.9345934676859
"2025-05-11","Tullibardine","Highlands","Scotland","65",130.4,"200.62","Operational","Hogshead","","Wine",5.97,286.6,134,66,22,2015.9,7.03,15.46,92.2923542944785
"2025-06-02","Tullibardine","Highlands","Scotland","69.4",109,"157.06","Operational","Barrel","","",7.24,224.37,131,61,22,1531.59,6.83,14.05,101.731299082569
"2023-04-18","Arran","Islands","Scotland","51.4",87,"168.3","Operational","Hogshead","","",24.85,240.43,47,15,9,21930.6,91.21,252.08,6264.08517241379
"2021-03-24","Bonnington","Lowlands","Scotland","37.37",71,"190","Operational","Barrel",NA,"Bourbon",1,271.43,95,65,28,2550.27,9.4,35.92,35.9192957746479
"2021-03-24","Bonnington","Lowlands","Scotland","63.7",63.7,"222","Operational","Hogshead",NA,"Wine",0.65,317.14,95,65,28,2550.27,8.04,40.04,26.0231632653061
"2022-04-27","Bruichladdich","Islay","Scotland","60.4",82.1,"135","Operational","Barrel",NA,"Bourbon",17.32,192.86,97,63,33,19646.25,101.87,239.3,4144.61693057247
"2017-08-02","Bruichladdich","Islay","Scotland","53.9",53.9,"162","Operational","Barrel","First Fill","Bourbon",13.59,231.43,5,5,5,12498.55,54.01,231.88,3151.30416512059
"2017-10-04","Littlemill","Lowlands","Scotland","50",50,"85","Operational","Barrel",NA,"Bourbon",27.76,121.43,7,7,5,41635.8,342.88,832.72,23116.19616
"2018-01-03","Macallan","Speyside","Scotland","61.4",61.4,"226.1","Operational","Butt","Second Fill","Sherry",22.01,323,14,12,7,224883.62,696.23,3662.6,80613.8188306189
"2017-10-04","Macallan","Speyside","Scotland","58.9",58.9,"141.09","Operational","Hogshead","Second Fill","Sherry",23.76,201.56,7,7,5,121292.71,601.77,2059.3,48928.9437962649
"2018-02-07","Macallan","Speyside","Scotland","52.75",52.75,"180","Operational","Hogshead","Second Fill","Sherry",29.03,257.14,20,15,10,322086.75,1252.57,6105.91,177254.565924171
"2018-01-03","Macallan","Speyside","Scotland","50.02",50.02,"168.4","Operational","Hogshead","Third Fill","Sherry",28.01,240.57,14,12,7,180521.55,750.39,3608.99,101087.737215114
"2017-07-05","Macallan","Speyside","Scotland","53.3",53.3,"101","Operational","Hogshead","Second Fill","Sherry",24.51,144.29,2,2,2,71101.74,492.77,1333.99,32696.1284690432
"2017-10-04","Macallan","Speyside","Scotland","60.5",60.5,"186.45","Operational","Hogshead","Second Fill","Sherry",23.76,266.36,7,7,5,109913.15,412.65,1816.75,43165.8916363636
"2018-12-05","Tullibardine","Highlands","Scotland","58.4",58.4,"215","Operational","Hogshead",NA,"Sherry",13.48,307.14,26,15,7,6903.36,22.48,118.21,1593.44679452055
"2017-11-01","Tullibardine","Highlands","Scotland","57.09",57.09,"153.4","Operational",NA,NA,"Bourbon",11.83,219.14,10,10,5,3067.4,14,53.73,635.616430197933
"2017-09-06","Tullibardine","Highlands","Scotland","59",59,"168","Operational","Barrel",NA,"Bourbon",10.68,240,6,6,5,4958.21,20.66,84.04,897.520047457627
"2018-12-05","Tullibardine","Highlands","Scotland","57.7",57.7,"148.2","Operational","Barrel",NA,"Bourbon",13.53,211.71,26,15,7,4037.82,19.07,69.98,946.823303292894
"2025-11-23","Annandale","Lowlands","Scotland","63.5",126.17,"198.7","Operational","Barrel",NA,"Bourbon",4.89,283.86,78,12,1,1375,4.84,10.9,53.2911944202267
"2025-06-22","Ardmore","Highlands","Scotland","57.6",92.62,"160.8","Operational","Barrel","Second Fill","Bourbon",14.47,229.71,131,61,22,2309.94,10.06,24.94,360.881362556683
"2024-05-26","Ardmore","Highlands","Scotland","58.2",95.27,"163.7","Operational","Barrel","Second Fill","Bourbon",13.4,233.86,77,59,13,6250.93,26.73,65.61,879.211315209405
"2021-03-28","Arran","Highlands","Scotland","57.8",101.15,"175","Operational","Barrel",NA,"Bourbon",12.24,250,95,65,28,9053.47,36.21,89.51,1095.54594957983
"2022-04-24","Arran","Highlands","Scotland","52.1",73.93,"141.9","Operational","Barrel",NA,"Bourbon",17.31,202.71,97,63,33,23482.5,115.84,317.63,5498.20201541999
"2021-01-03","Aultmore","Speyside","Scotland","60.2",32.77,"54.44","Operational","Octave","First Fill","Sherry",10.01,77.77,79,61,38,2847.59,36.62,86.9,869.83142813549
"2022-02-27","Ben Nevis","Highlands","Scotland","47.2",70.65,"149.69","Operational","Barrel",NA,"Bourbon",18.16,213.84,85,59,25,15058.29,70.42,213.14,3870.60929087049
"2021-08-29","Benriach","Speyside","Scotland","61.7",265.93,"431","Operational","Butt",NA,"Sherry",6.66,615.71,91,26,8,9084.3,14.75,34.16,227.508885797014
"2025-09-28","Bruichladdich","Islay","Scotland","53.4",66.75,"125","Operational","Barrel",NA,"Bourbon",20.74,178.57,112,28,6,10114.5,56.64,151.53,3142.69258426966
"2023-04-30","Bruichladdich","Islay","Scotland","59.6",97.15,"163","Operational","Barrel",NA,"Bourbon",13.33,232.86,47,15,9,27012.08,116,278.05,3706.34098198662
"2022-04-24","Bruichladdich","Islay","Scotland","57.7",99.82,"173","Operational","Hogshead",NA,"Bourbon",19.31,247.14,97,63,33,38071.88,154.05,381.41,7364.936914446
"2021-11-28","Bruichladdich","Islay","Scotland","59.3",105.55,"178","Operational",NA,NA,"Bourbon",11.91,254.29,99,42,34,20224.45,79.53,191.61,2282.07673614401
"2023-10-29","Bruichladdich","Islay","Scotland","58.6",98.04,"167.3","Operational","Barrel","First Fill","Bourbon",12.82,239,36,21,10,24306.82,101.7,247.93,3178.43158302734
"2021-01-24","Bruichladdich","Islay","Scotland","56.2",107.34,"191","Operational","Hogshead",NA,"Sherry",15.06,272.86,79,61,38,33275.23,121.95,310,4668.57614868642
"2023-04-30","Bruichladdich","Islay","Scotland","59.7",103.28,"173","Operational","Barrel","First Fill","Bourbon",13.33,247.14,47,15,9,22465.49,90.9,217.52,2899.54474922541
"2021-05-30","Bruichladdich","Islay","Scotland","62.4",95.47,"153","Operational",NA,NA,"Bourbon",16.41,218.57,95,57,18,19137.18,87.56,200.45,3289.42205719074
"2020-04-26","Craigellachie","Speyside","Scotland","64.9",137.59,"212","Operational","Hogshead","First Fill","Sherry",12.32,302.86,27,16,11,11828.57,39.06,85.97,1059.14661239916
"2020-05-24","Girvan","Lowlands","Scotland","60",51,"85","Operational","Barrel",NA,"Bourbon",14.39,121.43,29,18,13,2217.86,18.26,43.49,625.784419607843
"2022-03-27","Glasgow","Lowlands","Scotland","63.4",114.68,"180.89","Operational","Barrel",NA,"Bourbon",4.23,258.41,92,59,24,3633.43,14.06,31.68,134.019959016393
"2022-03-27","Glasgow","Lowlands","Scotland","63",112.5,"178.57","Operational","Barrel",NA,"Bourbon",4.23,255.1,92,59,24,2978.22,11.67,26.47,111.981072
"2022-02-27","Glasgow","Lowlands","Scotland","62.8",92.79,"147.75","Operational","Barrel","First Fill","Virgin Oak",7.16,211.07,85,59,25,4397.02,20.83,47.39,339.289397564393
"2022-03-27","Glasgow","Lowlands","Scotland","62.9",83.25,"132.35","Operational","Barrel","First Fill","Virgin Oak",7.23,189.07,92,59,24,4169.51,22.05,50.08,362.108796396396
"2021-02-21","Glen Garioch","Highlands","Scotland","57.3",34.26,"59.79","Operational","Octave","First Fill","Sherry",10.14,85.41,90,65,39,2717.12,31.81,79.31,804.191383537653
"2021-02-21","Glen Ord","Highlands","Scotland","59.7",70.58,"118.22","Operational","Quarter Cask","First Fill","Sherry",8.14,168.89,90,65,39,4539.18,26.88,64.31,523.504182487957
"2024-03-24","Glenrothes","Speyside","Scotland","64.6",149.1,"230.8","Operational","Hogshead",NA,"Sherry",16.23,329.71,81,55,42,16257.52,49.31,109.04,1769.68175452716
"2021-05-30","Glenrothes","Speyside","Scotland","59.8",45.09,"75.4","Operational","Hogshead","Second Fill","Bourbon",30.41,107.71,95,57,18,18885.38,175.34,418.84,12736.8464360169
"2023-10-29","Lochindaal (Bruichladdich)","Islay","Scotland","61.1",96.11,"157.3",NA,"Barrel","First Fill","Bourbon",14.82,224.71,36,21,10,21453.41,95.47,223.22,3308.07966080533
"2020-07-26","North British","Lowlands","Scotland","68.6",233.93,"341","Operational","Butt",NA,"Sherry",4.57,487.14,28,18,7,3708.07,7.61,15.85,72.4399602445176
"2025-01-05","North British","Lowlands","Scotland","60.1",90.15,"150","Operational","Barrel",NA,"Bourbon",15.01,214.29,105,63,26,2369.65,11.06,26.29,394.547382140876
"2022-02-27","North British","Lowlands","Scotland","61.3",79.63,"129.9","Operational","Barrel",NA,"Bourbon",12.16,185.57,85,59,25,1355.25,7.3,17.02,206.955167650383
"2020-07-26","North British","Lowlands","Scotland","62.8",67.2,"107","Operational","Barrel",NA,"Bourbon",10.57,152.86,28,18,7,1949.93,12.76,29.02,306.707739583333
"2020-05-24","North British","Lowlands","Scotland","61.1",62.32,"102","Operational","Barrel",NA,"Bourbon",10.39,145.71,29,18,13,1703.57,11.69,27.34,284.019452824134
"2021-05-30","North British","Lowlands","Scotland","69.1",135.44,"196","Operational","Barrel",NA,"Bourbon",11.41,280,95,57,18,2266.25,8.09,16.73,190.917841848789
"2020-11-22","North British","Lowlands","Scotland","60.9",90.74,"149","Operational","Barrel",NA,"Bourbon",14.89,212.86,56,38,26,2561.98,12.04,28.23,420.408664315627
"2020-05-24","North British","Lowlands","Scotland","67.3",77.39,"115","Operational","Barrel",NA,"Bourbon",4.39,164.29,29,18,13,2217.86,13.5,28.66,125.809605892234
"2023-03-26","North British","Lowlands","Scotland","61.2",112,"183","Operational","Barrel",NA,"Bourbon",13.23,261.43,52,11,2,1975.08,7.55,17.63,233.306325
"2020-11-22","North British","Lowlands","Scotland","61.8",101.35,"164","Operational","Barrel",NA,"Bourbon",14.89,234.29,56,38,26,2561.98,10.94,25.28,376.397456339418
"2020-10-25","Port Dundas","Lowlands","Scotland","62.2",131.24,"211","Closed","Hogshead",NA,"Port",11.81,301.43,46,30,23,5178.51,17.18,39.46,466.002766686986
"2021-01-03","Port Dundas","Lowlands","Scotland","61.3",120.09,"195.9","Closed","Hogshead",NA,"Port",12.01,279.86,79,61,38,4479.36,16.01,37.3,447.973300024981
"2022-02-27","Port Dundas","Lowlands","Scotland","56.4",93.29,"165.4","Closed","Hogshead","Second Fill","Bourbon",22.16,236.29,85,59,25,8553.11,36.2,91.68,2031.69597598885
"2020-07-26","Royal Brackla","Highlands","Scotland","61.9",82.33,"133","Operational","Hogshead","First Fill","Sherry",6.57,190,28,18,7,6521.08,34.32,79.21,520.387411636099
"2023-10-29","Speyside","Speyside","Scotland","51.2",79.56,"155.4","Operational","Hogshead",NA,"Sherry",31.82,222,36,21,10,23250,104.73,292.23,9298.83107088989
"2022-06-26","Speyside","Speyside","Scotland","65.1",242.17,"372","Operational","Butt",NA,"Sherry",26.48,531.43,108,55,31,43808.5,82.44,180.9,4790.22620473221
"2022-05-29","Springbank","Campbeltown","Scotland","52.4",70.95,"135.4","Operational","Hogshead","First Fill","Sherry",29.4,193.43,106,64,39,162826.99,841.79,2294.95,67471.6491331924
"2024-01-02","Springbank","Campbeltown","Scotland","50.5",52.87,"104.7","Operational","Barrel","Second Fill","Bourbon",31,149.57,75,55,45,116692.02,780.18,2207.15,68421.6497068281
"2024-04-28","Springbank","Campbeltown","Scotland","46.5",22.88,"49.2","Operational","Hogshead","First Fill","Sherry",27.32,70.29,78,57,12,36573.03,520.32,1598.47,43670.2438636364
"2021-10-24","Springbank","Campbeltown","Scotland","44.6",59.76,"134","Operational","Hogshead","First Fill","Sherry",23.81,191.43,99,34,24,89643.49,468.28,1500.06,35716.3905103748
"2021-01-03","Tullibardine","Highlands","Scotland","66.6",30.21,"45.36","Operational","Octave","First Fill","Sherry",5.01,64.8,79,61,38,1535.78,23.7,50.84,254.692413108242
"2021-02-21","Tullibardine","Highlands","Scotland","62.4",70.83,"113.51","Operational","Quarter Cask","First Fill","Sherry",6.14,162.16,90,65,39,3452.34,21.29,48.74,299.271037695892
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",43.49,"63.12","Operational","Octave","First Fill","Wine",3.66,90.17,91,26,8,1219.54,13.52,28.04,102.633166245114
"2021-02-21","Tullibardine","Highlands","Scotland","62.4",34.05,"54.57","Operational","Octave","First Fill","Sherry",6.14,77.96,90,65,39,1822.07,23.37,53.51,328.561227606461
"2021-01-03","Tullibardine","Highlands","Scotland","66.6",30.21,"45.36","Operational","Octave","First Fill","Sherry",5.01,64.8,79,61,38,1663.76,25.68,55.07,275.916504468719
"2021-01-03","Tullibardine","Highlands","Scotland","68.8",39.88,"57.97","Operational","Octave","First Fill","Wine",3.01,82.81,79,61,38,1663.76,20.09,41.72,125.574663991976
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",37.01,"53.71","Operational","Octave","First Fill","Bourbon",3.66,76.73,91,26,8,1169.76,15.25,31.61,115.680129694677
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",43.49,"63.12","Operational","Octave","First Fill","Wine",3.66,90.17,91,26,8,1194.65,13.25,27.47,100.538491607266
"2021-01-03","Tullibardine","Highlands","Scotland","68.8",35.67,"51.84","Operational","Octave","First Fill","Sherry",3.01,74.06,79,61,38,1631.77,22.03,45.75,137.696319035604
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",42.73,"62.02","Operational","Octave","First Fill","Wine",3.66,88.6,91,26,8,1244.42,14.05,29.12,106.589684062719
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",34.72,"50.39","Operational","Octave","First Fill","Sherry",3.66,71.99,91,26,8,1144.87,15.9,32.97,120.686180875576
"2021-09-26","Tullibardine","Highlands","Scotland","66.7",123.9,"185.75","Operational","Barrel",NA,"Bourbon",5.74,265.36,98,33,18,4343.86,16.37,35.06,201.240971751412
"2019-11-24","Tullibardine","Highlands","Scotland","58",277.82,"479","Operational","Butt",NA,"Sherry",12.9,684.29,19,11,4,13628.57,19.92,49.06,632.814602980347
"2020-07-26","Tullibardine","Highlands","Scotland","61.5",62.73,"102","Operational","Barrel",NA,"Bourbon",4.57,145.71,28,18,7,1662.24,11.41,26.5,121.097350549976
"2020-10-25","Tullibardine","Highlands","Scotland","69.7",36.24,"52","Operational","Octave","First Fill","Sherry",2.81,74.29,46,30,23,1981.9,26.68,54.69,153.673813465784
"2021-08-29","Tullibardine","Highlands","Scotland","68.9",44.63,"64.78","Operational","Octave","First Fill","Bourbon",3.66,92.54,91,26,8,1119.98,12.1,25.09,91.8468922249608
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.5",298,"476.8",NA,"Butt",NA,"Sherry",4.69,681.14,100,45,25,7796.2,11.45,26.16,122.698583892617
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","63",146.6,"232.7",NA,"Hogshead",NA,"Sherry",3.69,332.43,100,45,25,3118.48,9.38,21.27,78.4938008185539
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.3",145.16,"233",NA,"Hogshead",NA,"Sherry",4.69,332.86,100,45,25,4157.97,12.49,28.64,134.340584871866
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.8",146.32,"233",NA,"Hogshead",NA,"Sherry",3.69,332.86,100,45,25,3118.48,9.37,21.31,78.644007654456
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.8",146.07,"232.6",NA,"Hogshead",NA,"Sherry",3.69,332.29,100,45,25,3118.48,9.38,21.35,78.7786075169439
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","63",146.98,"233.3",NA,"Hogshead",NA,"Sherry",3.69,333.29,100,45,25,3118.48,9.36,21.22,78.2908640631378
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.8",145.57,"231.8",NA,"Hogshead",NA,"Sherry",3.69,331.14,100,45,25,3118.48,9.42,21.42,79.0491942021021
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.9",145.11,"230.7",NA,"Hogshead",NA,"Sherry",3.69,329.57,100,45,25,3118.48,9.46,21.49,79.2997808559024
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.7",145.34,"231.8",NA,"Hogshead",NA,"Sherry",3.69,331.14,100,45,25,3118.48,9.42,21.46,79.1742892527866
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.8",139.79,"222.6",NA,"Hogshead",NA,"Sherry",3.69,318,100,45,25,3118.48,9.81,22.31,82.3176994062522
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.3",136.13,"218.5",NA,"Hogshead",NA,"Sherry",3.69,312.14,100,45,25,3118.48,9.99,22.91,84.5308984059355
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.6",140.91,"225.1",NA,"Hogshead",NA,"Sherry",3.69,321.57,100,45,25,3118.48,9.7,22.13,81.663410687673
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","63.1",147.53,"233.8",NA,"Hogshead",NA,"Sherry",3.69,334,100,45,25,3118.48,9.34,21.14,77.9989913915814
"2024-09-08","Undisclosed Distillery","Lowlands","Scotland","62.6",139.79,"223.3",NA,"Hogshead",NA,"Sherry",3.69,319,100,45,25,3118.48,9.78,22.31,82.3176994062522
