"url","sold","auction_date","title","distillery","region","distillery_status","cask_type","currency","strength","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","hammer_price","country","auction_house","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol"
"https://www.prestigewhiskyauction.com/lot-280219/longmorn-2010-cask-900017-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2024-04-29,"Longmorn 2010 Cask #900017 * Cask in Storage at Glenfarclas *","Longmorn","Speyside","Operational","Barrel","Great Britain Pound (£)",54.8,168.98,92.6,2010-08-12,"","Bourbon",2023-07-04,13.71,11000,"Scotland","Prestige Whisky Auction",241.4,45.57,118.79,1100,4.56,11.88
"https://www.prestigewhiskyauction.com/lot-270400/longmorn-2010-cask-900016-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2024-04-01,"Longmorn 2010 Cask #900016 * Cask in Storage at Glenfarclas *","Longmorn","Speyside","Operational","Barrel","Great Britain Pound (£)",57.4,178.22,102.3,2010-08-12,"","Bourbon",2023-07-04,13.64,9500,"Scotland","Prestige Whisky Auction",254.6,37.31,92.86,950,3.73,9.29
"https://www.prestigewhiskyauction.com/lot-250592/longmorn-2010-cask-900015-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2024-02-05,"Longmorn 2010 Cask #900015 * Cask in Storage at Glenfarclas *","Longmorn","Speyside","Operational","Barrel","Great Britain Pound (£)",55.6,175.9,97.8,2010-08-12,"","Bourbon",2023-07-04,13.48,9000,"Scotland","Prestige Whisky Auction",251.29,35.82,92.02,900,3.58,9.2
"https://www.prestigewhiskyauction.com/lot-230726/longmorn-2010-cask-900010-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2023-12-04,"Longmorn 2010 Cask #900010 * Cask in Storage at Glenfarclas *","Longmorn","Speyside","Operational","Barrel","Great Britain Pound (£)",55.6,158.81,88.3,2010-05-03,"","Bourbon",2023-07-04,13.59,8900,"Scotland","Prestige Whisky Auction",226.87,39.23,100.79,890,3.92,10.08
"https://www.prestigewhiskyauction.com/lot-350339/tamnavulin-2013-cask-111561-cask-in-storage-at-invergordon/searched/q-cask&sb-relevance&au-past-auctions",FALSE,2025-04-04,"Tamnavulin 2013 Cask #111561 * Cask in Storage at Invergordon *","Tamnavulin","Speyside","Operational","Barrel","Great Britain Pound (£)",58.5,180.85,105.8,2013-09-10,"","",2024-10-28,11.57,4400,"Scotland","Prestige Whisky Auction",258.36,17.03,41.59,440,1.7,4.16
"https://www.prestigewhiskyauction.com/lot-320177/dalmunach-2017-cask-1270000105-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2024-09-02,"Dalmunach 2017 Cask #1270000105 * Cask in Storage at Glenfarclas *","Dalmunach","Speyside","Operational","Barrel","Great Britain Pound (£)",59.2,173.82,102.9,2017-06-15,"First Fill","Bourbon",2024-07-08,7.22,4100,"Scotland","Prestige Whisky Auction",248.31,16.51,39.84,410,1.65,3.98
"https://www.prestigewhiskyauction.com/lot-310387/dalmunach-2017-cask-1270000105-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",FALSE,2024-12-13,"Dalmunach 2017 Cask #1270000105 * Cask in Storage at Glenfarclas *","Dalmunach","Speyside","Operational","Barrel","Great Britain Pound (£)",59.2,173.82,102.9,2017-06-15,"First Fill","Bourbon",2024-07-08,7.5,3900,"Scotland","Prestige Whisky Auction",248.31,15.71,37.9,390,1.57,3.79
"https://www.prestigewhiskyauction.com/lot-360108/tamnavulin-2013-cask-111561-cask-in-storage-at-invergordon/searched/q-cask&sb-relevance&au-past-auctions",FALSE,2025-04-04,"Tamnavulin 2013 Cask #111561 * Cask in Storage at Invergordon *","Tamnavulin","Speyside","Operational","Barrel","Great Britain Pound (£)",58.5,180.85,105.8,2013-09-10,"","",2024-10-28,11.57,3700,"Scotland","Prestige Whisky Auction",258.36,14.32,34.97,370,1.43,3.5
"https://www.prestigewhiskyauction.com/lot-340094/dalmunach-2017-cask-1270000108-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2024-11-04,"Dalmunach 2017 Cask #1270000108 * Cask in Storage at Glenfarclas *","Dalmunach","Speyside","Operational","Barrel","Great Britain Pound (£)",58.5,180.85,105.8,2017-06-15,"First Fill","Bourbon",2024-07-08,7.39,3500,"Scotland","Prestige Whisky Auction",258.36,13.55,33.08,350,1.35,3.31
"https://www.prestigewhiskyauction.com/lot-330205/dalmunach-2017-cask-1270000108-cask-in-storage-at-glenfarclas/searched/q-cask&sb-relevance&au-past-auctions",FALSE,2024-12-13,"Dalmunach 2017 Cask #1270000108 * Cask in Storage at Glenfarclas *","Dalmunach","Speyside","Operational","Barrel","Great Britain Pound (£)",58.5,180.85,105.8,2017-06-15,"First Fill","Bourbon",2024-07-08,7.5,3200,"Scotland","Prestige Whisky Auction",258.36,12.39,30.25,320,1.24,3.02
"https://www.prestigewhiskyauction.com/lot-360354/deanston-2022-hogshead-5377-cask-in-storage-at-jd-spirits/searched/q-cask&sb-relevance&au-past-auctions",TRUE,2025-01-06,"Deanston 2022 Hogshead #5377 * Cask in Storage at JD Spirits *","Deanston","Highlands","Operational","Hogshead","Great Britain Pound (£)",65,243.52,158.29,2022-06-28,"Second Fill","",2024-12-04,2.53,2000,"Scotland","Prestige Whisky Auction",347.89,5.75,12.64,200,0.57,1.26
"https://www.prestigewhiskyauction.com/lot-360355/tullibardine-2019-hogshead-8000090-cask-in-storage-at-jd-spirits/searched/q-cask&sb-relevance&au-past-auctions",FALSE,2025-05-11,"Tullibardine 2019 Hogshead #8000090 * Cask in Storage at JD Spirits *","Tullibardine","Highlands","Operational","Hogshead","Great Britain Pound (£)",65,200.62,130.4,2019-05-23,"","Wine",2024-12-04,5.97,2000,"Scotland","Prestige Whisky Auction",286.6,6.98,15.34,200,0.7,1.53
"https://www.prestigewhiskyauction.com/lot-410379/tullibardine-2018-barrel-8000181/searched/q-barrel&sb-relevance&au-past-auctions",TRUE,2025-06-02,"Tullibardine 2018 Barrel #8000181","Tullibardine","Highlands","Operational","Barrel","Great Britain Pound (£)",69.4,157.06,109,2018-03-05,"","",2025-02-01,7.24,1525,"Scotland","Prestige Whisky Auction",224.37,6.8,13.99,152.5,0.68,1.4
"https://www.prestigewhiskyauction.com/lot-380378/ardmore-2023-barrel-800268/searched/q-barrel&sb-relevance&au-past-auctions",TRUE,2025-03-03,"Ardmore 2023 Barrel #800268","Ardmore","Highlands","Operational","Barrel","Great Britain Pound (£)",NA,NA,NA,2023-05-16,"Second Fill","",NA,1.8,1200,"Scotland","Prestige Whisky Auction",NA,NA,NA,120,NA,NA
"https://www.prestigewhiskyauction.com/lot-110547/arran-1998-hogshead-98614/searched/q-hogshead&sb-relevance&au-past-auctions",FALSE,2023-04-18,"Arran 1998 Hogshead #98/614","Arran","Islands","Operational","Hogshead","Great Britain Pound (£)",51.4,168.3,87,1998-06-11,"","",2022-11-11,24.85,20500,"Scotland","Prestige Whisky Auction",240.43,85.26,235.63,2050,8.53,23.56
